Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system
0.0,0.0,0.2,0.0,0.3,0.45,0.05,7.2962,0.325,2363.6000000000004,V-Mo-Ti-W
0.0,0.0,0.2,0.0,0.35,0.4,0.05,7.5849,0.3245,2411.35,V-Mo-Ti-W
0.0,0.0,0.2,0.0,0.4,0.35,0.05,7.8736,0.32399999999999995,2459.1,V-Mo-Ti-W
0.0,0.0,0.2,0.0,0.4,0.4,0.0,7.136400000000001,0.326,2371.4,V-Mo-Ti
0.0,0.0,0.2,0.0,0.45,0.35,0.0,7.4251,0.3255,2419.15,V-Mo-Ti
0.0,0.0,0.2,0.0,0.5,0.3,0.0,7.7138,0.32499999999999996,2466.8999999999996,V-Mo-Ti
0.0,0.0,0.2,0.0,0.55,0.25,0.0,8.002500000000001,0.3245,2514.65,V-Mo-Ti
0.0,0.0,0.2,0.0,0.6,0.2,0.0,8.2912,0.324,2562.3999999999996,V-Mo-Ti
0.0,0.0,0.25,0.0,0.05,0.5,0.2,8.1445,0.32400000000000007,2400.05,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.1,0.5,0.15,7.696,0.3255,2360.1,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.15,0.45,0.15,7.9847,0.325,2407.8500000000004,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.2,0.4,0.15,8.2734,0.3245,2455.6000000000004,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.2,0.45,0.1,7.5362,0.3265,2367.9,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.25,0.35,0.15,8.5621,0.324,2503.35,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.25,0.4,0.1,7.8249,0.326,2415.65,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.3,0.35,0.1,8.1136,0.3255,2463.3999999999996,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.3,0.4,0.05,7.3764,0.3275,2375.7,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.35,0.3,0.1,8.4023,0.32499999999999996,2511.1499999999996,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.35,0.35,0.05,7.665099999999999,0.32699999999999996,2423.45,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.4,0.25,0.1,8.691,0.3245,2558.9,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.4,0.3,0.05,7.9538,0.3265,2471.2,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.4,0.35,0.0,7.2166,0.3285,2383.5,V-Mo-Ti
0.0,0.0,0.25,0.0,0.45,0.2,0.1,8.9797,0.324,2606.6499999999996,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.45,0.25,0.05,8.2425,0.326,2518.95,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.45,0.3,0.0,7.505299999999999,0.328,2431.25,V-Mo-Ti
0.0,0.0,0.25,0.0,0.5,0.2,0.05,8.5312,0.3255,2566.7,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.5,0.25,0.0,7.794,0.3275,2479.0,V-Mo-Ti
0.0,0.0,0.25,0.0,0.55,0.15,0.05,8.8199,0.325,2614.4500000000003,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.55,0.2,0.0,8.082699999999999,0.327,2526.75,V-Mo-Ti
0.0,0.0,0.25,0.0,0.6,0.1,0.05,9.1086,0.3245,2662.2,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.6,0.15,0.0,8.3714,0.32649999999999996,2574.5,V-Mo-Ti
0.0,0.0,0.25,0.0,0.65,0.05,0.05,9.397300000000001,0.324,2709.9500000000003,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.65,0.1,0.0,8.6601,0.32600000000000007,2622.25,V-Mo-Ti
0.0,0.0,0.25,0.0,0.7,0.05,0.0,8.9488,0.3255,2670.0,V-Mo-Ti
0.0,0.0,0.25,0.0,0.75,0.0,0.0,9.237499999999999,0.32499999999999996,2717.75,V-Mo
0.0,0.0,0.3,0.0,0.0,0.45,0.25,8.673200000000001,0.325,2452.1000000000004,V-Ti-W
0.0,0.0,0.3,0.0,0.0,0.5,0.2,7.936,0.327,2364.4,V-Ti-W
0.0,0.0,0.3,0.0,0.05,0.4,0.25,8.9619,0.3245,2499.8500000000004,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.05,0.45,0.2,8.2247,0.3265,2412.15,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.1,0.35,0.25,9.2506,0.32399999999999995,2547.6,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.1,0.4,0.2,8.5134,0.326,2459.9,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.1,0.45,0.15,7.7762,0.328,2372.2,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.15,0.35,0.2,8.8021,0.3255,2507.65,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.15,0.4,0.15,8.0649,0.3275,2419.9500000000003,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.2,0.3,0.2,9.0908,0.325,2555.4,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.2,0.35,0.15,8.3536,0.32699999999999996,2467.7,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.2,0.4,0.1,7.6164000000000005,0.329,2380.0,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.25,0.25,0.2,9.3795,0.3245,2603.15,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.25,0.3,0.15,8.6423,0.3265,2515.45,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.25,0.35,0.1,7.905099999999999,0.3285,2427.75,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.3,0.25,0.15,8.931,0.326,2563.2,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.3,0.3,0.1,8.1938,0.328,2475.5,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.3,0.35,0.05,7.4566,0.32999999999999996,2387.7999999999997,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.35,0.2,0.15,9.219699999999998,0.3255,2610.95,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.35,0.25,0.1,8.4825,0.3275,2523.25,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.35,0.3,0.05,7.745299999999999,0.3295,2435.55,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.4,0.2,0.1,8.7712,0.327,2571.0,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.4,0.25,0.05,8.034,0.329,2483.3,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.4,0.3,0.0,7.2968,0.33099999999999996,2395.6000000000004,V-Mo-Ti
0.0,0.0,0.3,0.0,0.45,0.15,0.1,9.0599,0.3265,2618.7500000000005,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.45,0.2,0.05,8.3227,0.3285,2531.05,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.45,0.25,0.0,7.5855,0.3305,2443.35,V-Mo-Ti
0.0,0.0,0.3,0.0,0.5,0.1,0.1,9.3486,0.32600000000000007,2666.5,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.5,0.15,0.05,8.6114,0.328,2578.8,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.5,0.2,0.0,7.8742,0.33,2491.1000000000004,V-Mo-Ti
0.0,0.0,0.3,0.0,0.55,0.1,0.05,8.9001,0.3275,2626.55,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.55,0.15,0.0,8.1629,0.3295,2538.8500000000004,V-Mo-Ti
0.0,0.0,0.3,0.0,0.6,0.05,0.05,9.1888,0.327,2674.3,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.6,0.1,0.0,8.4516,0.32899999999999996,2586.6,V-Mo-Ti
0.0,0.0,0.3,0.0,0.65,0.0,0.05,9.4775,0.3265,2722.05,V-Mo-W
0.0,0.0,0.3,0.0,0.65,0.05,0.0,8.7403,0.3285,2634.3500000000004,V-Mo-Ti
0.0,0.0,0.3,0.0,0.7,0.0,0.0,9.028999999999998,0.328,2682.1,V-Mo
0.0,0.0,0.3,0.05,0.3,0.3,0.05,7.588800000000001,0.3245,2399.75,V-Cr-Mo-Ti-W
0.0,0.0,0.3,0.05,0.35,0.25,0.05,7.8774999999999995,0.32399999999999995,2447.5,V-Cr-Mo-Ti-W
0.0,0.0,0.3,0.05,0.35,0.3,0.0,7.1403,0.326,2359.8,V-Cr-Mo-Ti
0.0,0.0,0.3,0.05,0.4,0.25,0.0,7.429,0.3255,2407.55,V-Cr-Mo-Ti
0.0,0.0,0.3,0.05,0.45,0.2,0.0,7.7177,0.325,2455.3,V-Cr-Mo-Ti
0.0,0.0,0.3,0.05,0.5,0.15,0.0,8.0064,0.3245,2503.05,V-Cr-Mo-Ti
0.0,0.0,0.3,0.05,0.55,0.1,0.0,8.2951,0.324,2550.8,V-Cr-Mo-Ti
0.0,0.0,0.35,0.0,0.0,0.35,0.3,9.490599999999999,0.3255,2551.8999999999996,V-Ti-W
0.0,0.0,0.35,0.0,0.0,0.4,0.25,8.753400000000001,0.3275,2464.2,V-Ti-W
0.0,0.0,0.35,0.0,0.0,0.45,0.2,8.016200000000001,0.3295,2376.5,V-Ti-W
0.0,0.0,0.35,0.0,0.05,0.35,0.25,9.042100000000001,0.327,2511.95,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.05,0.4,0.2,8.3049,0.329,2424.25,V-Mo-Ti-W
