Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system
0.0,0.0,0.25,0.0,0.45,0.2,0.1,8.9797,0.324,2606.6499999999996,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.55,0.15,0.05,8.8199,0.325,2614.4500000000003,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.6,0.1,0.05,9.1086,0.3245,2662.2,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.6,0.15,0.0,8.3714,0.32649999999999996,2574.5,V-Mo-Ti
0.0,0.0,0.25,0.0,0.65,0.05,0.05,9.397300000000001,0.324,2709.9500000000003,V-Mo-Ti-W
0.0,0.0,0.25,0.0,0.65,0.1,0.0,8.6601,0.32600000000000007,2622.25,V-Mo-Ti
0.0,0.0,0.25,0.0,0.7,0.05,0.0,8.9488,0.3255,2670.0,V-Mo-Ti
0.0,0.0,0.25,0.0,0.75,0.0,0.0,9.237499999999999,0.32499999999999996,2717.75,V-Mo
0.0,0.0,0.3,0.0,0.25,0.25,0.2,9.3795,0.3245,2603.15,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.35,0.2,0.15,9.219699999999998,0.3255,2610.95,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.45,0.15,0.1,9.0599,0.3265,2618.7500000000005,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.5,0.1,0.1,9.3486,0.32600000000000007,2666.5,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.5,0.15,0.05,8.6114,0.328,2578.8,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.55,0.1,0.05,8.9001,0.3275,2626.55,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.6,0.05,0.05,9.1888,0.327,2674.3,V-Mo-Ti-W
0.0,0.0,0.3,0.0,0.6,0.1,0.0,8.4516,0.32899999999999996,2586.6,V-Mo-Ti
0.0,0.0,0.3,0.0,0.65,0.0,0.05,9.4775,0.3265,2722.05,V-Mo-W
0.0,0.0,0.3,0.0,0.65,0.05,0.0,8.7403,0.3285,2634.3500000000004,V-Mo-Ti
0.0,0.0,0.3,0.0,0.7,0.0,0.0,9.028999999999998,0.328,2682.1,V-Mo
0.0,0.0,0.35,0.0,0.25,0.2,0.2,9.4597,0.327,2615.25,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.3,0.2,0.15,9.011199999999999,0.3285,2575.3,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.35,0.15,0.15,9.2999,0.328,2623.0499999999997,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.4,0.15,0.1,8.8514,0.32949999999999996,2583.1,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.45,0.1,0.1,9.140099999999999,0.32900000000000007,2630.85,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.5,0.05,0.1,9.4288,0.3285,2678.6000000000004,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.5,0.1,0.05,8.6916,0.3305,2590.9,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.55,0.05,0.05,8.9803,0.33000000000000007,2638.6500000000005,V-Mo-Ti-W
0.0,0.0,0.35,0.0,0.6,0.0,0.05,9.268999999999998,0.3295,2686.3999999999996,V-Mo-W
0.0,0.0,0.35,0.0,0.6,0.05,0.0,8.5318,0.3315,2598.7,V-Mo-Ti
0.0,0.0,0.35,0.0,0.65,0.0,0.0,8.8205,0.331,2646.45,V-Mo
0.0,0.0,0.35,0.05,0.4,0.1,0.1,8.9836,0.32399999999999995,2595.0499999999997,V-Cr-Mo-Ti-W
0.0,0.0,0.35,0.05,0.5,0.05,0.05,8.8238,0.325,2602.8500000000004,V-Cr-Mo-Ti-W
0.0,0.0,0.35,0.05,0.55,0.0,0.05,9.112499999999999,0.32450000000000007,2650.6000000000004,V-Cr-Mo-W
0.0,0.0,0.35,0.05,0.6,0.0,0.0,8.664,0.326,2610.6499999999996,V-Cr-Mo
0.0,0.0,0.4,0.0,0.2,0.2,0.2,9.2512,0.33,2579.6000000000004,V-Mo-Ti-W
0.0,0.0,0.4,0.0,0.3,0.15,0.15,9.0914,0.331,2587.4,V-Mo-Ti-W
0.0,0.0,0.4,0.0,0.35,0.1,0.15,9.380099999999999,0.3305,2635.15,V-Mo-Ti-W
0.0,0.0,0.4,0.0,0.4,0.1,0.1,8.931600000000001,0.33199999999999996,2595.2000000000003,V-Mo-Ti-W
0.0,0.0,0.4,0.0,0.45,0.05,0.1,9.220300000000002,0.3315,2642.9500000000003,V-Mo-Ti-W
0.0,0.0,0.4,0.0,0.5,0.05,0.05,8.7718,0.333,2603.0,V-Mo-Ti-W
0.0,0.0,0.4,0.0,0.55,0.0,0.05,9.060500000000001,0.3325,2650.75,V-Mo-W
0.0,0.0,0.4,0.0,0.6,0.0,0.0,8.612,0.33399999999999996,2610.8,V-Mo
0.0,0.0,0.4,0.05,0.2,0.15,0.2,9.383400000000002,0.3245,2591.55,V-Cr-Mo-Ti-W
0.0,0.0,0.4,0.05,0.3,0.1,0.15,9.2236,0.3255,2599.35,V-Cr-Mo-Ti-W
0.0,0.0,0.4,0.05,0.4,0.05,0.1,9.063800000000002,0.3265,2607.1500000000005,V-Cr-Mo-Ti-W
0.0,0.0,0.4,0.05,0.45,0.0,0.1,9.352500000000001,0.326,2654.9,V-Cr-Mo-W
0.0,0.0,0.4,0.05,0.5,0.0,0.05,8.904,0.3275,2614.95,V-Cr-Mo-W
0.0,0.0,0.4,0.05,0.55,0.0,0.0,8.4555,0.329,2575.0,V-Cr-Mo
0.0,0.0,0.45,0.0,0.1,0.2,0.25,9.4912,0.3315,2583.8999999999996,V-Mo-Ti-W
0.0,0.0,0.45,0.0,0.2,0.15,0.2,9.3314,0.3325,2591.7000000000003,V-Mo-Ti-W
0.0,0.0,0.45,0.0,0.3,0.1,0.15,9.1716,0.3335,2599.4999999999995,V-Mo-Ti-W
0.0,0.0,0.45,0.0,0.35,0.05,0.15,9.4603,0.333,2647.25,V-Mo-Ti-W
0.0,0.0,0.45,0.0,0.4,0.05,0.1,9.011800000000001,0.3345,2607.3,V-Mo-Ti-W
0.0,0.0,0.45,0.0,0.45,0.0,0.1,9.3005,0.334,2655.05,V-Mo-W
0.0,0.0,0.45,0.0,0.5,0.0,0.05,8.852,0.3355,2615.1,V-Mo-W
0.0,0.0,0.45,0.0,0.55,0.0,0.0,8.403500000000001,0.337,2575.15,V-Mo
0.0,0.0,0.45,0.05,0.2,0.1,0.2,9.4636,0.327,2603.65,V-Cr-Mo-Ti-W
0.0,0.0,0.45,0.05,0.3,0.05,0.15,9.3038,0.328,2611.45,V-Cr-Mo-Ti-W
0.0,0.0,0.45,0.05,0.4,0.0,0.1,9.144,0.329,2619.25,V-Cr-Mo-W
0.0,0.0,0.45,0.05,0.45,0.0,0.05,8.6955,0.33050000000000007,2579.3,V-Cr-Mo-W
0.0,0.0,0.45,0.1,0.35,0.0,0.1,8.987499999999999,0.324,2583.45,V-Cr-Mo-W
