Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa
0.0,0.0,0.25,0.0,0.45,0.2,0.1,8.9797,0.324,2606.65,V-Mo-Ti-W,269.5352857233078
0.0,0.0,0.25,0.0,0.55,0.15,0.05,8.8199,0.325,2614.4500000000003,V-Mo-Ti-W,272.0067198773098
0.0,0.0,0.25,0.0,0.6,0.1,0.05,9.1086,0.3245,2662.2,V-Mo-Ti-W,281.3285232404727
0.0,0.0,0.25,0.0,0.6,0.15,0.0,8.3714,0.3264999999999999,2574.5,V-Mo-Ti,259.7023301784531
0.0,0.0,0.25,0.0,0.65,0.05,0.05,9.3973,0.324,2709.9500000000003,V-Mo-Ti-W,284.77721099830046
0.0,0.0,0.25,0.0,0.65,0.1,0.0,8.6601,0.326,2622.25,V-Mo-Ti,268.55382252662474
0.0,0.0,0.25,0.0,0.7,0.05,0.0,8.9488,0.3255,2670.0,V-Mo-Ti,271.5730177112676
0.0,0.0,0.25,0.0,0.75,0.0,0.0,9.2375,0.3249999999999999,2717.75,V-Mo,267.90832299971316
0.0,0.0,0.3,0.0,0.25,0.25,0.2,9.3795,0.3245,2603.15,V-Mo-Ti-W,282.8860784589741
0.0,0.0,0.3,0.0,0.35,0.2,0.15,9.219699999999998,0.3255,2610.95,V-Mo-Ti-W,292.3395641220846
0.0,0.0,0.3,0.0,0.45,0.15,0.1,9.0599,0.3265,2618.7500000000005,V-Mo-Ti-W,296.16473551427094
0.0,0.0,0.3,0.0,0.5,0.1,0.1,9.3486,0.326,2666.5,V-Mo-Ti-W,308.05933359503706
0.0,0.0,0.3,0.0,0.5,0.15,0.05,8.6114,0.328,2578.8,V-Mo-Ti-W,282.3703046649511
0.0,0.0,0.3,0.0,0.55,0.1,0.05,8.9001,0.3275,2626.55,V-Mo-Ti-W,293.74252603595255
0.0,0.0,0.3,0.0,0.6,0.05,0.05,9.1888,0.327,2674.3,V-Mo-Ti-W,299.01343854822903
0.0,0.0,0.3,0.0,0.6,0.1,0.0,8.4516,0.3289999999999999,2586.6,V-Mo-Ti,279.6102870307968
0.0,0.0,0.3,0.0,0.65,0.0,0.05,9.4775,0.3265,2722.05,V-Mo-W,297.29682064059114
0.0,0.0,0.3,0.0,0.65,0.05,0.0,8.7403,0.3285,2634.3500000000004,V-Mo-Ti,284.4247928081849
0.0,0.0,0.3,0.0,0.7,0.0,0.0,9.028999999999998,0.328,2682.1,V-Mo,282.29976098160796
0.0,0.0,0.35,0.0,0.25,0.2,0.2,9.4597,0.327,2615.25,V-Mo-Ti-W,306.98823414018267
0.0,0.0,0.35,0.0,0.3,0.2,0.15,9.0112,0.3285,2575.3,V-Mo-Ti-W,292.3862811882485
0.0,0.0,0.35,0.0,0.35,0.15,0.15,9.2999,0.328,2623.05,V-Mo-Ti-W,311.9794275517673
0.0,0.0,0.35,0.0,0.4,0.15,0.1,8.8514,0.3294999999999999,2583.1,V-Mo-Ti-W,296.926381708176
0.0,0.0,0.35,0.0,0.45,0.1,0.1,9.1401,0.329,2630.85,V-Mo-Ti-W,310.4053712921739
