Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.1,0.15,0.25,0.1,0.1,0.2,0.1,9.4572,0.3275,2579.55,Nb-Ta-V-Cr-Mo-Ti-W,468.0064462056324,0.17795130420052185
0.1,0.15,0.25,0.1,0.2,0.15,0.05,9.2974,0.3285,2587.35,Nb-Ta-V-Cr-Mo-Ti-W,523.272660365696,0.19148542155126763
0.1,0.15,0.3,0.05,0.1,0.2,0.1,9.4052,0.3355,2579.7,Nb-Ta-V-Cr-Mo-Ti-W,388.1684764179997,0.18708286933869708
0.1,0.15,0.3,0.05,0.2,0.15,0.05,9.2454,0.3365,2587.5,Nb-Ta-V-Cr-Mo-Ti-W,436.7428060354608,0.2
0.1,0.15,0.3,0.1,0.2,0.1,0.05,9.3776,0.331,2599.45,Nb-Ta-V-Cr-Mo-Ti-W,562.054548276821,0.2
0.1,0.15,0.35,0.05,0.1,0.15,0.1,9.485400000000002,0.338,2591.8,Nb-Ta-V-Cr-Mo-Ti-W,427.7007850673489,0.19578900207451216
0.1,0.2,0.25,0.05,0.15,0.2,0.05,9.4857,0.3355,2595.1000000000004,Nb-Ta-V-Cr-Mo-Ti-W,375.58473198606526,0.17320508075688776
0.1,0.2,0.3,0.0,0.15,0.2,0.05,9.4337,0.3435,2595.25,Nb-Ta-V-Mo-Ti-W,296.29053292468967,0.19578900207451216
0.1,0.2,0.35,0.1,0.1,0.1,0.05,9.4896,0.3355,2583.5,Nb-Ta-V-Cr-Mo-Ti-W,501.9924323432611,0.19148542155126763
0.1,0.25,0.2,0.1,0.15,0.2,0.0,9.4097,0.3305,2574.7,Nb-Ta-V-Cr-Mo-Ti,410.474760367162,0.2
0.1,0.25,0.25,0.05,0.15,0.2,0.0,9.3577,0.3385,2574.8500000000004,Nb-Ta-V-Cr-Mo-Ti,335.1803165787202,0.1957890020745122
0.1,0.25,0.25,0.1,0.15,0.15,0.0,9.4899,0.3329999999999999,2586.8,Nb-Ta-V-Cr-Mo-Ti,459.44221839168864,0.18257418583505536
0.1,0.25,0.3,0.05,0.15,0.15,0.0,9.4379,0.341,2586.95,Nb-Ta-V-Cr-Mo-Ti,382.2565461963957,0.19148542155126763
0.15,0.1,0.2,0.05,0.2,0.2,0.1,9.4162,0.3325,2624.0,Nb-Ta-V-Cr-Mo-Ti-W,405.6128840388666,0.1957890020745122
0.15,0.1,0.2,0.1,0.15,0.2,0.1,9.2597,0.3275,2588.2,Nb-Ta-V-Cr-Mo-Ti-W,478.4822313856035,0.18257418583505539
0.15,0.1,0.25,0.05,0.15,0.2,0.1,9.2077,0.3354999999999999,2588.3500000000004,Nb-Ta-V-Cr-Mo-Ti-W,392.35237465719246,0.17795130420052185
0.15,0.1,0.25,0.05,0.2,0.15,0.1,9.4964,0.3349999999999999,2636.1,Nb-Ta-V-Cr-Mo-Ti-W,458.760873078492,0.17795130420052185
0.15,0.1,0.25,0.1,0.05,0.2,0.15,9.4997,0.329,2592.5,Nb-Ta-V-Cr-Mo-Ti-W,468.9053524816245,0.19148542155126763
0.15,0.1,0.25,0.1,0.15,0.15,0.1,9.3399,0.3299999999999999,2600.3,Nb-Ta-V-Cr-Mo-Ti-W,524.228492079417,0.1632993161855452
