Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.1,0.15,0.25,0.1,0.1,0.2,0.1,9.4572,0.3275,2579.55,Nb-Ta-V-Cr-Mo-Ti-W,468.0064462056324,0.1779513042005218
0.1,0.15,0.25,0.1,0.2,0.15,0.05,9.2974,0.3285,2587.35,Nb-Ta-V-Cr-Mo-Ti-W,523.272660365696,0.1914854215512676
0.1,0.15,0.3,0.05,0.2,0.15,0.05,9.2454,0.3365,2587.5,Nb-Ta-V-Cr-Mo-Ti-W,436.7428060354608,0.2
0.1,0.15,0.3,0.1,0.2,0.1,0.05,9.3776,0.331,2599.45,Nb-Ta-V-Cr-Mo-Ti-W,562.054548276821,0.2
0.1,0.15,0.35,0.05,0.1,0.15,0.1,9.485400000000002,0.338,2591.8,Nb-Ta-V-Cr-Mo-Ti-W,427.7007850673489,0.1957890020745121
0.1,0.2,0.35,0.1,0.1,0.1,0.05,9.4896,0.3355,2583.5,Nb-Ta-V-Cr-Mo-Ti-W,501.9924323432611,0.1914854215512676
0.1,0.25,0.2,0.1,0.15,0.2,0.0,9.4097,0.3305,2574.7,Nb-Ta-V-Cr-Mo-Ti,410.474760367162,0.2
0.1,0.25,0.25,0.1,0.15,0.15,0.0,9.4899,0.3329999999999999,2586.8,Nb-Ta-V-Cr-Mo-Ti,459.44221839168864,0.1825741858350553
0.15,0.1,0.2,0.05,0.2,0.2,0.1,9.4162,0.3325,2624.0,Nb-Ta-V-Cr-Mo-Ti-W,405.6128840388666,0.1957890020745122
0.15,0.1,0.2,0.1,0.15,0.2,0.1,9.2597,0.3275,2588.2,Nb-Ta-V-Cr-Mo-Ti-W,478.4822313856035,0.1825741858350553
0.15,0.1,0.25,0.05,0.2,0.15,0.1,9.4964,0.3349999999999999,2636.1,Nb-Ta-V-Cr-Mo-Ti-W,458.760873078492,0.1779513042005218
0.15,0.1,0.25,0.1,0.05,0.2,0.15,9.4997,0.329,2592.5,Nb-Ta-V-Cr-Mo-Ti-W,468.9053524816245,0.1914854215512676
0.15,0.1,0.25,0.1,0.15,0.15,0.1,9.3399,0.3299999999999999,2600.3,Nb-Ta-V-Cr-Mo-Ti-W,524.228492079417,0.1632993161855452
0.15,0.1,0.25,0.15,0.15,0.1,0.1,9.4721,0.3245,2612.25,Nb-Ta-V-Cr-Mo-Ti-W,651.874451595785,0.1779513042005218
0.15,0.1,0.3,0.05,0.15,0.15,0.1,9.2879,0.3379999999999999,2600.4500000000003,Nb-Ta-V-Cr-Mo-Ti-W,437.27971466475856,0.1732050807568877
0.15,0.1,0.3,0.1,0.15,0.1,0.1,9.4201,0.3325,2612.4,Nb-Ta-V-Cr-Mo-Ti-W,563.2898675137761,0.1732050807568877
0.15,0.1,0.3,0.15,0.1,0.1,0.1,9.2636,0.3275,2576.6,Nb-Ta-V-Cr-Mo-Ti-W,596.4367442969063,0.187082869338697
0.15,0.1,0.35,0.05,0.15,0.1,0.1,9.3681,0.3405,2612.55,Nb-Ta-V-Cr-Mo-Ti-W,476.0928242135365,0.1957890020745121
0.15,0.1,0.35,0.1,0.1,0.1,0.1,9.2116,0.3355,2576.75,Nb-Ta-V-Cr-Mo-Ti-W,516.3255190557235,0.1957890020745121
0.15,0.15,0.15,0.1,0.1,0.25,0.1,9.5,0.3265,2595.8,Nb-Ta-V-Cr-Mo-Ti-W,404.3355854145451,0.1957890020745122
0.15,0.15,0.15,0.1,0.2,0.2,0.05,9.3402,0.3275,2603.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,462.0202738274128,0.1957890020745122
0.15,0.15,0.2,0.1,0.2,0.15,0.05,9.4204,0.33,2615.7000000000003,Nb-Ta-V-Cr-Mo-Ti-W,516.6370079547095,0.1632993161855452
0.15,0.15,0.2,0.15,0.15,0.15,0.05,9.2639,0.325,2579.9,Nb-Ta-V-Cr-Mo-Ti-W,566.5844964570879,0.1632993161855452
0.15,0.15,0.25,0.05,0.2,0.15,0.05,9.3684,0.3379999999999999,2615.85,Nb-Ta-V-Cr-Mo-Ti-W,426.8177971094957,0.1581138830084189
0.15,0.15,0.25,0.1,0.15,0.15,0.05,9.2119,0.333,2580.05,Nb-Ta-V-Cr-Mo-Ti-W,483.5614571681967,0.1414213562373095
0.15,0.15,0.25,0.15,0.15,0.1,0.05,9.3441,0.3275,2592.0,Nb-Ta-V-Cr-Mo-Ti-W,608.2027837599679,0.1581138830084189
0.15,0.15,0.3,0.05,0.15,0.15,0.05,9.1599,0.3409999999999999,2580.2,Nb-Ta-V-Cr-Mo-Ti-W,402.5851198009088,0.1527525231651946
0.15,0.15,0.3,0.05,0.2,0.1,0.05,9.4486,0.3405,2627.95,Nb-Ta-V-Cr-Mo-Ti-W,475.0023758477772,0.1683250823060346
0.15,0.15,0.3,0.1,0.05,0.15,0.1,9.4519,0.3345,2584.35,Nb-Ta-V-Cr-Mo-Ti-W,466.37695466791246,0.1527525231651946
0.15,0.15,0.3,0.1,0.15,0.1,0.05,9.2921,0.3355,2592.15,Nb-Ta-V-Cr-Mo-Ti-W,524.6026813723719,0.1527525231651946
0.15,0.15,0.3,0.15,0.15,0.05,0.05,9.4243,0.3299999999999999,2604.1,Nb-Ta-V-Cr-Mo-Ti-W,642.6922074228398,0.1825741858350553
0.15,0.15,0.35,0.05,0.15,0.1,0.05,9.2401,0.3435,2592.3,Nb-Ta-V-Cr-Mo-Ti-W,442.81175596445934,0.1779513042005218
0.15,0.15,0.35,0.1,0.15,0.05,0.05,9.3723,0.338,2604.25,Nb-Ta-V-Cr-Mo-Ti-W,559.0289215942595,0.1914854215512676
0.15,0.2,0.2,0.05,0.25,0.15,0.0,9.448900000000002,0.338,2631.25,Nb-Ta-V-Cr-Mo-Ti,404.9936025791445,0.2
0.15,0.2,0.2,0.1,0.1,0.2,0.05,9.4522,0.3319999999999999,2587.65,Nb-Ta-V-Cr-Mo-Ti-W,410.3925065089932,0.1414213562373095
0.15,0.2,0.2,0.1,0.2,0.15,0.0,9.2924,0.333,2595.4500000000003,Nb-Ta-V-Cr-Mo-Ti,471.4243983433577,0.1732050807568877
0.15,0.2,0.2,0.15,0.2,0.1,0.0,9.424600000000002,0.3275,2607.4,Nb-Ta-V-Cr-Mo-Ti,607.4852211951423,0.187082869338697
0.15,0.2,0.25,0.1,0.2,0.1,0.0,9.3726,0.3355,2607.55,Nb-Ta-V-Cr-Mo-Ti,520.9626852492778,0.1683250823060346
0.15,0.2,0.3,0.05,0.2,0.1,0.0,9.3206,0.3434999999999999,2607.7,Nb-Ta-V-Cr-Mo-Ti,436.42442194533936,0.1779513042005218
0.15,0.2,0.3,0.1,0.2,0.05,0.0,9.4528,0.3379999999999999,2619.65,Nb-Ta-V-Cr-Mo-Ti,564.8484876745568,0.1914854215512676
0.15,0.2,0.3,0.15,0.05,0.1,0.05,9.4561,0.332,2576.05,Nb-Ta-V-Cr-Mo-Ti-W,526.4506610844435,0.1632993161855452
0.15,0.2,0.3,0.15,0.15,0.05,0.0,9.2963,0.333,2583.85,Nb-Ta-V-Cr-Mo-Ti,592.8425148631013,0.1914854215512676
0.15,0.2,0.35,0.1,0.05,0.1,0.05,9.4041,0.34,2576.2,Nb-Ta-V-Cr-Mo-Ti-W,453.5593446180932,0.1732050807568877
0.15,0.2,0.35,0.1,0.15,0.05,0.0,9.2443,0.3409999999999999,2584.0,Nb-Ta-V-Cr-Mo-Ti,513.9968398288212,0.1999999999999999
0.15,0.25,0.2,0.15,0.1,0.15,0.0,9.456400000000002,0.3295,2579.3500000000004,Nb-Ta-V-Cr-Mo-Ti,479.64167740674,0.1683250823060346
0.15,0.25,0.25,0.1,0.1,0.15,0.0,9.4044,0.3375,2579.5,Nb-Ta-V-Cr-Mo-Ti,406.0792095596053,0.1471960144387974
0.15,0.25,0.3,0.1,0.1,0.1,0.0,9.4846,0.34,2591.6,Nb-Ta-V-Cr-Mo-Ti,450.07311609889217,0.1581138830084189
0.2,0.05,0.25,0.1,0.1,0.15,0.15,9.3824,0.3315,2613.25,Nb-Ta-V-Cr-Mo-Ti-W,524.9551925417364,0.1914854215512676
0.2,0.05,0.25,0.1,0.15,0.15,0.1,8.933900000000001,0.333,2573.3,Nb-Ta-V-Cr-Mo-Ti-W,500.8640262472494,0.1914854215512676
0.2,0.05,0.3,0.05,0.1,0.15,0.15,9.3304,0.3395,2613.4,Nb-Ta-V-Cr-Mo-Ti-W,437.6060228433663,0.2
0.2,0.05,0.3,0.05,0.15,0.15,0.1,8.8819,0.341,2573.4500000000003,Nb-Ta-V-Cr-Mo-Ti-W,416.4979650190273,0.2
0.2,0.05,0.3,0.1,0.1,0.1,0.15,9.4626,0.334,2625.35,Nb-Ta-V-Cr-Mo-Ti-W,564.2756161110804,0.2
0.2,0.05,0.3,0.1,0.15,0.1,0.1,9.0141,0.3355,2585.4,Nb-Ta-V-Cr-Mo-Ti-W,537.844465542336,0.2
0.2,0.1,0.15,0.1,0.15,0.2,0.1,9.3827,0.329,2616.55,Nb-Ta-V-Cr-Mo-Ti-W,461.9174279380351,0.1825741858350553
0.2,0.1,0.15,0.15,0.1,0.2,0.1,9.2262,0.324,2580.75,Nb-Ta-V-Cr-Mo-Ti-W,519.2377355027863,0.1957890020745122
0.2,0.1,0.2,0.1,0.1,0.2,0.1,9.1742,0.332,2580.9,Nb-Ta-V-Cr-Mo-Ti-W,436.8999370951837,0.1632993161855452
0.2,0.1,0.2,0.1,0.15,0.15,0.1,9.4629,0.3315,2628.65,Nb-Ta-V-Cr-Mo-Ti-W,516.7224159680802,0.1471960144387974
0.2,0.1,0.2,0.1,0.2,0.15,0.05,9.014400000000002,0.333,2588.7000000000003,Nb-Ta-V-Cr-Mo-Ti-W,493.90586253954007,0.1779513042005218
0.2,0.1,0.2,0.15,0.1,0.15,0.1,9.3064,0.3265,2592.85,Nb-Ta-V-Cr-Mo-Ti-W,567.040809636366,0.1632993161855452
0.2,0.1,0.2,0.15,0.2,0.1,0.05,9.1466,0.3275,2600.65,Nb-Ta-V-Cr-Mo-Ti-W,630.2050603688969,0.1914854215512676
0.2,0.1,0.25,0.05,0.15,0.15,0.1,9.410900000000002,0.3395,2628.8,Nb-Ta-V-Cr-Mo-Ti-W,426.52850109239535,0.1414213562373095
0.2,0.1,0.25,0.05,0.2,0.15,0.05,8.9624,0.3409999999999999,2588.85,Nb-Ta-V-Cr-Mo-Ti-W,406.7710349486444,0.1732050807568877
0.2,0.1,0.25,0.05,0.25,0.1,0.05,9.2511,0.3405,2636.6,Nb-Ta-V-Cr-Mo-Ti-W,476.27385514051,0.2
0.2,0.1,0.25,0.1,0.0,0.2,0.15,9.4142,0.3335,2585.2,Nb-Ta-V-Cr-Ti-W,424.8327723181761,0.2
0.2,0.1,0.25,0.1,0.1,0.15,0.1,9.2544,0.3345,2593.0,Nb-Ta-V-Cr-Mo-Ti-W,483.5980357756009,0.1414213562373095
0.2,0.1,0.25,0.1,0.2,0.1,0.05,9.0946,0.3355,2600.8,Nb-Ta-V-Cr-Mo-Ti-W,540.4672087357377,0.1732050807568877
0.2,0.1,0.25,0.15,0.1,0.1,0.1,9.3866,0.329,2604.95,Nb-Ta-V-Cr-Mo-Ti-W,608.7749198161847,0.1581138830084189
0.2,0.1,0.25,0.15,0.2,0.05,0.05,9.2268,0.33,2612.75,Nb-Ta-V-Cr-Mo-Ti-W,670.2677631985076,0.2
0.2,0.1,0.3,0.05,0.1,0.15,0.1,9.2024,0.3425,2593.15,Nb-Ta-V-Cr-Mo-Ti-W,402.27760360575047,0.1527525231651946
0.2,0.1,0.3,0.05,0.15,0.1,0.1,9.4911,0.342,2640.9,Nb-Ta-V-Cr-Mo-Ti-W,474.90132334815047,0.1527525231651946
0.2,0.1,0.3,0.05,0.2,0.1,0.05,9.0426,0.3435,2600.95,Nb-Ta-V-Cr-Mo-Ti-W,452.4944392102529,0.1825741858350553
0.2,0.1,0.3,0.1,0.0,0.15,0.15,9.4944,0.336,2597.3,Nb-Ta-V-Cr-Ti-W,466.5271595175522,0.1957890020745121
0.2,0.1,0.3,0.1,0.1,0.1,0.1,9.3346,0.337,2605.1,Nb-Ta-V-Cr-Mo-Ti-W,524.7408173061041,0.1527525231651946
0.2,0.1,0.3,0.1,0.2,0.05,0.05,9.1748,0.338,2612.9,Nb-Ta-V-Cr-Mo-Ti-W,580.4463558099162,0.1957890020745122
0.2,0.1,0.3,0.15,0.1,0.05,0.1,9.4668,0.3315,2617.05,Nb-Ta-V-Cr-Mo-Ti-W,643.4110919005916,0.1825741858350553
0.2,0.1,0.3,0.15,0.15,0.05,0.05,9.0183,0.333,2577.1,Nb-Ta-V-Cr-Mo-Ti-W,611.9429784274969,0.1957890020745121
0.2,0.1,0.35,0.05,0.1,0.1,0.1,9.2826,0.345,2605.25,Nb-Ta-V-Cr-Mo-Ti-W,442.592985601248,0.1779513042005218
0.2,0.1,0.35,0.1,0.1,0.05,0.1,9.4148,0.3395,2617.2,Nb-Ta-V-Cr-Mo-Ti-W,559.2960081745117,0.1914854215512676
0.2,0.15,0.15,0.1,0.15,0.2,0.05,9.2547,0.332,2596.3,Nb-Ta-V-Cr-Mo-Ti-W,416.7815028521442,0.1632993161855452
0.2,0.15,0.15,0.15,0.15,0.15,0.05,9.3869,0.3265,2608.25,Nb-Ta-V-Cr-Mo-Ti-W,556.7976220833642,0.1632993161855452
0.2,0.15,0.2,0.05,0.2,0.15,0.05,9.491400000000002,0.3395,2644.2000000000003,Nb-Ta-V-Cr-Mo-Ti-W,404.13825680666446,0.1414213562373095
0.2,0.15,0.2,0.1,0.05,0.2,0.1,9.494700000000002,0.3335,2600.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,410.0965215125028,0.1414213562373095
0.2,0.15,0.2,0.1,0.15,0.15,0.05,9.3349,0.3345,2608.4,Nb-Ta-V-Cr-Mo-Ti-W,470.9541270043378,0.1224744871391589
0.2,0.15,0.2,0.1,0.25,0.1,0.0,9.1751,0.3355,2616.2,Nb-Ta-V-Cr-Mo-Ti,530.6906915294544,0.2
