system,n_elements,sigma_y_UB_MPa,prunable
Ta-Mo,2,740.1223422735604,False
Nb-Mo,2,823.1208758246196,False
Ta-W,2,929.9659493298634,False
Nb-W,2,1019.0658024070824,False
V-Mo,2,1057.8208892794096,False
Ta-V,2,1088.9964115160594,False
Cr-Ti,2,1552.2602776185072,False
V-W,2,2052.9990666940785,False
Nb-Cr,2,2357.8162345451774,False
Ta-Cr,2,3655.6781054890284,False
Cr-Mo,2,4338.437800196513,False
Cr-W,2,7013.721365785617,False
Nb-V-Ti,3,730.2818597995636,False
Nb-Ta-Mo,3,823.1208758246196,False
Ta-Mo-Ti,3,862.4603376078787,False
Nb-Mo-Ti,3,883.6519578695771,False
Nb-Ta-W,3,1019.0658024070824,False
Ta-Ti-W,3,1051.2224708007423,False
Nb-Ti-W,3,1079.128204096208,False
Nb-Ta-V,3,1149.375351577443,False
Ta-Mo-W,3,1197.849613440528,False
Nb-Mo-W,3,1305.3292493282252,False
Ta-V-Ti,3,1361.281850902499,False
V-Cr-Ti,3,1792.112939417805,False
V-Mo-W,3,2052.9990666940785,False
Nb-Cr-Ti,3,2357.8162345451774,False
V-Mo-Ti,3,2411.284605854417,False
Nb-V-Cr,3,2698.102613790213,False
V-Ti-W,3,3620.115523953373,False
Ta-Cr-Ti,3,3655.6781054890284,False
Nb-Ta-Cr,3,3686.0324694691944,False
Ta-V-Mo,3,3736.8875516584417,False
Nb-V-Mo,3,3824.573811642948,False
Ta-V-Cr,3,3858.503600828439,False
V-Cr-Mo,3,4338.437800196513,False
Ta-V-W,3,5544.607652951659,False
Nb-V-W,3,5656.897098898597,False
Cr-Mo-Ti,3,6591.45614795139,False
V-Cr-W,3,7013.721365785617,False
Cr-Mo-W,3,7013.721365785617,False
Ta-Cr-Mo,3,9202.795590319694,False
Nb-Cr-Mo,3,9270.021196713415,False
Cr-Ti-W,3,9424.873433865263,False
Ta-Cr-W,3,12974.167118491385,False
Nb-Cr-W,3,13065.103817821557,False
Nb-Ta-Mo-Ti,4,883.6519578695771,False
Nb-Ta-Ti-W,4,1079.128204096208,False
Nb-Ta-Mo-W,4,1305.3292493282252,False
Ta-Mo-Ti-W,4,1348.8490601656413,False
Nb-Ta-V-Ti,4,1378.253392163732,False
Nb-Mo-Ti-W,4,1379.852140800825,False
Nb-V-Cr-Ti,4,2698.102613790213,False
V-Mo-Ti-W,4,3620.115523953373,False
Nb-Ta-Cr-Ti,4,3686.0324694691944,False
Nb-Ta-V-Mo,4,3824.573811642948,False
Ta-V-Cr-Ti,4,3858.503600828439,False
Nb-Ta-V-Cr,4,3890.2865787800174,False
Ta-V-Mo-Ti,4,4017.239632763177,False
Nb-V-Mo-Ti,4,4059.9257603299047,False
Ta-V-Mo-W,4,5544.607652951659,False
Nb-Ta-V-W,4,5656.897098898597,False
Nb-V-Mo-W,4,5656.897098898597,False
Ta-V-Ti-W,4,5873.814029192748,False
Nb-V-Ti-W,4,5933.184590154555,False
V-Cr-Mo-Ti,4,6591.45614795139,False
V-Cr-Mo-W,4,7013.721365785617,False
Ta-V-Cr-Mo,4,9202.795590319694,False
Ta-Cr-Mo-Ti,4,9202.795590319694,False
Nb-Ta-Cr-Mo,4,9270.021196713415,False
Nb-V-Cr-Mo,4,9270.021196713415,False
Nb-Cr-Mo-Ti,4,9270.021196713415,False
V-Cr-Ti-W,4,9424.873433865263,False
Cr-Mo-Ti-W,4,9424.873433865263,False
Ta-V-Cr-W,4,12974.167118491385,False
Ta-Cr-Mo-W,4,12974.167118491385,False
Ta-Cr-Ti-W,4,12974.167118491385,False
Nb-Ta-Cr-W,4,13065.103817821557,False
