Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.3,0.1,0.15,0.1,0.15,0.15,0.05,9.0519,0.3389999999999999,2609.75,Nb-Ta-V-Cr-Mo-Ti-W,424.4817295810275,0.187082869338697,2180.896892696313,2481.2806062770583,1907.746892696313,2208.130606277058,False
0.3,0.1,0.15,0.1,0.2,0.1,0.05,9.3406,0.3385,2657.5,Nb-Ta-V-Cr-Mo-Ti-W,506.4177084529692,0.2,2216.1792155707153,2536.742440061266,1943.0292155707152,2263.5924400612657,False
0.3,0.1,0.15,0.15,0.05,0.15,0.1,9.3439,0.3325,2613.9,Nb-Ta-V-Cr-Mo-Ti-W,497.2347218716493,0.1999999999999999,2120.0253210161864,2474.6119065058706,1846.8753210161863,2201.4619065058705,False
0.3,0.1,0.15,0.15,0.1,0.15,0.05,8.8954,0.334,2573.95,Nb-Ta-V-Cr-Mo-Ti-W,471.9231458279558,0.1999999999999999,2092.177818976711,2404.1668605076625,1819.027818976711,2131.0168605076624,False
0.3,0.1,0.15,0.15,0.15,0.1,0.05,9.1841,0.3335,2621.7000000000003,Nb-Ta-V-Cr-Mo-Ti-W,565.6014410116577,0.1999999999999999,2126.6569428838143,2458.0590172897587,1853.5069428838142,2184.9090172897586,False
0.3,0.1,0.2,0.05,0.2,0.1,0.05,9.2886,0.3465,2657.65,Nb-Ta-V-Cr-Mo-Ti-W,412.9553558199101,0.1825741858350553,2318.6874544242287,2571.4843820509636,2045.5374544242286,2298.3343820509635,False
0.3,0.1,0.2,0.1,0.05,0.15,0.1,9.291900000000002,0.3405,2614.05,Nb-Ta-V-Cr-Mo-Ti-W,417.3437755442272,0.1683250823060346,2196.2951411166346,2493.7159813523294,1923.1451411166345,2220.5659813523293,False
0.3,0.1,0.2,0.1,0.15,0.1,0.05,9.1321,0.3414999999999999,2621.85,Nb-Ta-V-Cr-Mo-Ti-W,478.5649751416089,0.1683250823060346,2213.4992079883204,2491.212595645103,1940.3492079883204,2218.062595645103,False
0.3,0.1,0.2,0.1,0.2,0.05,0.05,9.4208,0.341,2669.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,564.8579614822287,0.1957890020745122,2251.7818778624473,2547.6870284133797,1978.6318778624473,2274.5370284133796,False
0.3,0.1,0.2,0.15,0.05,0.1,0.1,9.4241,0.335,2626.0,Nb-Ta-V-Cr-Mo-Ti-W,547.4601385955741,0.1825741858350553,2165.1698088311673,2485.16686306841,1892.0198088311672,2212.0168630684097,False
