Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.15,0.25,0.2,0.15,0.1,0.15,0.0,9.456400000000002,0.3295,2579.3500000000004,Nb-Ta-V-Cr-Mo-Ti,479.64167740674,0.1683250823060346,2116.075163750876,2423.185702506765,1842.925163750876,2150.035702506765,False
0.15,0.25,0.25,0.1,0.1,0.15,0.0,9.4044,0.3375,2579.5,Nb-Ta-V-Cr-Mo-Ti,406.0792095596053,0.1471960144387974,2175.105622889716,2454.6395504037796,1901.9556228897159,2181.4895504037795,False
0.15,0.25,0.3,0.1,0.1,0.1,0.0,9.4846,0.34,2591.6,Nb-Ta-V-Cr-Mo-Ti,450.07311609889217,0.1581138830084189,2202.470748706926,2468.419631071283,1929.3207487069258,2195.269631071283,False
0.2,0.15,0.2,0.1,0.25,0.1,0.0,9.1751,0.3355,2616.2,Nb-Ta-V-Cr-Mo-Ti,530.6906915294544,0.2,2241.6948749355665,2510.7440168897942,1968.5448749355664,2237.594016889794,False
0.2,0.15,0.2,0.15,0.2,0.1,0.0,9.0186,0.3305,2580.4,Nb-Ta-V-Cr-Mo-Ti,579.3947284074583,0.187082869338697,2155.967755097201,2430.2163181810097,1882.817755097201,2157.0663181810096,False
0.2,0.15,0.25,0.05,0.25,0.1,0.0,9.1231,0.3435,2616.35,Nb-Ta-V-Cr-Mo-Ti,439.97489644819154,0.1957890020745122,2316.188391548644,2543.96258530454,2043.038391548644,2270.81258530454,False
0.2,0.15,0.25,0.1,0.2,0.1,0.0,8.9666,0.3385,2580.55,Nb-Ta-V-Cr-Mo-Ti,495.3140865496415,0.1683250823060346,2220.632130710374,2464.0952947287146,1947.482130710374,2190.9452947287145,False
0.2,0.15,0.25,0.15,0.2,0.05,0.0,9.0988,0.333,2592.5,Nb-Ta-V-Cr-Mo-Ti,621.3496191190297,0.1957890020745122,2198.424634548539,2444.8159210687804,1925.2746345485389,2171.6659210687803,False
0.2,0.15,0.3,0.05,0.2,0.1,0.0,8.9146,0.3465,2580.7,Nb-Ta-V-Cr-Mo-Ti,413.4409863151912,0.1779513042005218,2275.432046086625,2495.4403231416914,2002.282046086625,2222.2903231416913,False
0.2,0.15,0.3,0.1,0.2,0.05,0.0,9.0468,0.341,2592.65,Nb-Ta-V-Cr-Mo-Ti,536.6370669663055,0.1914854215512676,2251.0881861899297,2476.015200296031,1977.9381861899296,2202.8652002960307,False
