Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.2,0.1,0.25,0.1,0.0,0.2,0.15,9.4142,0.3335,2585.2,Nb-Ta-V-Cr-Ti-W,424.8327723181761,0.2,2168.7483134646927,2496.7000836476072,1895.5983134646926,2223.550083647607,False
0.2,0.1,0.3,0.1,0.0,0.15,0.15,9.4944,0.336,2597.3,Nb-Ta-V-Cr-Ti-W,466.5271595175522,0.1957890020745121,2194.640619061984,2499.863416380065,1921.490619061984,2226.7134163800647,False
0.2,0.15,0.25,0.15,0.0,0.15,0.1,9.4184,0.331,2576.9,Nb-Ta-V-Cr-Ti-W,488.22853293636825,0.1683250823060346,2122.628812298974,2449.0784214031964,1849.478812298974,2175.9284214031964,False
0.2,0.15,0.3,0.1,0.0,0.15,0.1,9.3664,0.339,2577.05,Nb-Ta-V-Cr-Ti-W,416.09407218429817,0.1632993161855452,2167.568856987577,2460.613304905572,1894.4188569875769,2187.463304905572,False
0.2,0.15,0.3,0.15,0.0,0.1,0.1,9.4986,0.3335,2589.0,Nb-Ta-V-Cr-Ti-W,526.277517968261,0.1779513042005218,2161.6885480371725,2456.3666372175735,1888.5385480371724,2183.2166372175734,False
0.2,0.15,0.35,0.1,0.0,0.1,0.1,9.4466,0.3415,2589.15,Nb-Ta-V-Cr-Ti-W,453.012998910676,0.187082869338697,2196.1142037418285,2466.06385916113,1922.9642037418284,2192.91385916113,False
0.25,0.15,0.15,0.15,0.0,0.2,0.1,9.461200000000002,0.33,2593.15,Nb-Ta-V-Cr-Ti-W,429.05582498329824,0.2,2088.0138861770943,2473.201433674939,1814.8638861770942,2200.051433674939,False
0.25,0.15,0.25,0.1,0.0,0.15,0.1,9.4894,0.3405,2605.4,Nb-Ta-V-Cr-Ti-W,404.3170662651521,0.1471960144387974,2184.0404284904785,2491.9139805167533,1910.8904284904784,2218.7639805167532,False
0.25,0.2,0.2,0.15,0.0,0.15,0.05,9.4134,0.3355,2585.0,Nb-Ta-V-Cr-Ti-W,414.0443824195856,0.1632993161855452,2107.2506152880133,2434.5261368890688,1834.1006152880132,2161.3761368890687,False
0.25,0.2,0.25,0.15,0.0,0.1,0.05,9.4936,0.338,2597.1,Nb-Ta-V-Cr-Ti-W,458.0842143989547,0.1581138830084189,2148.136779568831,2443.9169145632104,1874.986779568831,2170.7669145632103,False
